EmployeeID,Attrition,Age,TravelProfile,Department,HomeToWork,EducationField,Gender,HourlnWeek,Involvement,WorkLifeBalance,Designation,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MaritalStatus,MonthlyIncome,Data
5110001.0,0.0,35.0,Rarely,Analytics,5.0,CA,Male,69.0,1.0,1.0,Executive,1.0,1.0,1.0,1.0,20.0,7.0,2.0,3.0,Married,18932.0,train
5110002.0,1.0,32.0,Yes,Sales,5.0,Statistics,Female,62.0,4.0,3.0,Executive,2.0,0.0,8.0,0.0,20.0,4.0,1.0,3.0,Single,18785.0,train
5110003.0,0.0,31.0,Rarely,Analytics,5.0,Statistics,Female,45.0,5.0,3.0,Manager,2.0,1.0,3.0,0.0,26.0,12.0,1.0,3.0,Single,22091.0,train
5110004.0,0.0,34.0,Yes,Sales,10.0,Statistics,Female,32.0,3.0,2.0,Manager,4.0,1.0,1.0,0.0,23.0,5.0,1.0,3.0,Divorced,20302.0,train
5110005.0,0.0,37.0,No,Analytics,27.0,Statistics,Female,49.0,3.0,4.0,Manager,4.0,1.0,8.0,0.0,21.0,12.0,1.0,9.0,Divorced,21674.0,train
5110006.0,1.0,34.0,Yes,Marketing,24.0,MBA,Female,43.0,3.0,4.0,Senior Manager,5.0,1.0,9.0,1.0,20.0,11.0,0.0,2.0,Married,24950.0,train
5110007.0,0.0,35.0,Yes,Sales,1.0,Marketing Diploma,Female,62.0,3.0,1.0,Senior Manager,3.0,1.0,1.0,0.0,19.0,10.0,0.0,8.0,Single,23789.0,train
5110008.0,1.0,26.0,Rarely,Sales,8.0,Marketing Diploma,Male,48.0,4.0,2.0,Manager,3.0,1.0,2.0,1.0,17.0,7.0,1.0,4.0,Single,21744.0,train
5110009.0,0.0,45.0,Yes,Analytics,5.0,CA,Male,58.0,3.0,3.0,Senior Manager,3.0,0.0,6.0,1.0,24.0,17.0,3.0,3.0,Single,26209.0,train
5110010.0,1.0,24.0,Rarely,Sales,4.0,Statistics,Female,65.0,3.0,3.0,Manager,3.0,1.0,9.0,0.0,19.0,4.0,2.0,0.0,Single,19577.0,train
5110011.0,0.0,41.0,No,Analytics,11.0,CA,Male,57.0,4.0,5.0,Senior Manager,4.0,1.0,3.0,0.0,17.0,17.0,5.0,9.0,Married,29757.0,train
5110012.0,0.0,37.0,Rarely,Analytics,1.0,Engineer,Female,59.0,3.0,4.0,Senior Manager,2.0,0.0,4.0,0.0,22.0,12.0,1.0,2.0,Single,22491.0,train
5110013.0,0.0,28.0,Rarely,Analytics,11.0,Other,Female,59.0,3.0,1.0,Manager,3.0,0.0,3.0,0.0,18.0,10.0,1.0,7.0,Single,18660.0,train
5110014.0,0.0,34.0,Rarely,Analytics,9.0,Statistics,Male,42.0,3.0,3.0,Executive,2.0,1.0,1.0,0.0,17.0,10.0,8.0,8.0,Divorced,17691.0,train
5110015.0,1.0,31.0,Rarely,Sales,21.0,Statistics,Female,71.0,5.0,3.0,Manager,3.0,0.0,3.0,1.0,16.0,4.0,2.0,2.0,Divorced,19559.0,train
5110016.0,0.0,46.0,Rarely,Marketing,6.0,CA,Male,80.0,3.0,2.0,Manager,4.0,1.0,8.0,1.0,27.0,16.0,0.0,2.0,Married,20021.0,train
5110017.0,1.0,33.0,Yes,Analytics,30.0,CA,Female,54.0,4.0,2.0,Manager,3.0,0.0,1.0,0.0,27.0,14.0,3.0,8.0,Single,19508.0,train
5110018.0,0.0,32.0,Rarely,Analytics,4.0,CA,Female,63.0,3.0,4.0,Manager,5.0,0.0,1.0,0.0,17.0,8.0,6.0,3.0,Divorced,21725.0,train
5110019.0,0.0,33.0,Rarely,Analytics,9.0,CA,Male,60.0,3.0,4.0,Executive,2.0,0.0,0.0,0.0,18.0,15.0,4.0,10.0,Divorced,17781.0,train
5110020.0,1.0,36.0,Rarely,Marketing,21.0,CA,Female,69.0,3.0,5.0,Executive,4.0,1.0,0.0,1.0,16.0,6.0,1.0,4.0,Married,17148.0,train
5110021.0,1.0,36.0,Rarely,Analytics,23.0,Statistics,Female,48.0,3.0,3.0,Executive,3.0,1.0,4.0,1.0,16.0,7.0,0.0,1.0,Divorced,17132.0,train
5110022.0,0.0,47.0,Rarely,Analytics,3.0,CA,Female,65.0,3.0,2.0,Manager,1.0,0.0,5.0,0.0,18.0,20.0,0.0,4.0,Married,20070.0,train
5110023.0,0.0,36.0,Rarely,Analytics,5.0,CA,Female,61.0,5.0,3.0,Executive,1.0,0.0,2.0,1.0,17.0,2.0,1.0,1.0,Married,17129.0,train
5110024.0,0.0,33.0,Rarely,Analytics,3.0,Statistics,Male,68.0,3.0,3.0,Manager,4.0,0.0,2.0,0.0,23.0,11.0,1.0,10.0,Married,22220.0,train
5110025.0,0.0,41.0,Rarely,Sales,7.0,Marketing Diploma,Male,35.0,3.0,1.0,Senior Manager,3.0,1.0,1.0,0.0,17.0,10.0,8.0,7.0,Single,24241.0,train
5110026.0,0.0,47.0,Rarely,Sales,15.0,CA,Female,78.0,3.0,2.0,Manager,3.0,0.0,3.0,1.0,22.0,11.0,1.0,2.0,Divorced,19591.0,train
5110027.0,0.0,34.0,Rarely,Analytics,17.0,CA,Female,74.0,3.0,3.0,Executive,4.0,1.0,2.0,0.0,19.0,9.0,2.0,3.0,Divorced,18756.0,train
5110028.0,0.0,51.0,Yes,Analytics,7.0,CA,Female,40.0,4.0,2.0,Executive,3.0,1.0,0.0,0.0,19.0,8.0,7.0,7.0,Single,17838.0,train
5110029.0,0.0,52.0,No,Analytics,20.0,CA,Male,41.0,3.0,5.0,Executive,2.0,1.0,0.0,0.0,23.0,5.0,1.0,2.0,Divorced,19258.0,train
5110030.0,0.0,52.0,No,Sales,30.0,Statistics,Male,40.0,3.0,5.0,Executive,1.0,0.0,2.0,0.0,20.0,16.0,0.0,0.0,Married,18482.0,train
5110031.0,0.0,39.0,Rarely,Sales,13.0,Marketing Diploma,Male,75.0,4.0,1.0,Senior Manager,3.0,0.0,1.0,1.0,20.0,10.0,3.0,8.0,Married,24740.0,train
5110032.0,0.0,36.0,Rarely,Analytics,15.0,Statistics,Male,68.0,3.0,5.0,Manager,1.0,1.0,0.0,1.0,22.0,17.0,4.0,11.0,Married,21586.0,train
5110033.0,0.0,53.0,Rarely,Sales,1.0,CA,Female,34.0,3.0,3.0,Manager,5.0,1.0,7.0,0.0,20.0,18.0,8.0,10.0,Single,23381.0,train
5110034.0,0.0,36.0,Rarely,Sales,7.0,Marketing Diploma,Male,59.0,3.0,4.0,Manager,3.0,0.0,2.0,1.0,25.0,13.0,4.0,5.0,Divorced,17306.0,train
5110035.0,0.0,43.0,Rarely,Analytics,9.0,CA,Female,72.0,1.0,5.0,Executive,3.0,1.0,1.0,0.0,17.0,6.0,1.0,4.0,Married,17645.0,train
5110036.0,0.0,45.0,Rarely,Marketing,3.0,Statistics,Female,52.0,4.0,4.0,Manager,3.0,0.0,5.0,0.0,17.0,11.0,1.0,3.0,Single,21985.0,train
5110037.0,0.0,36.0,Rarely,Analytics,1.0,Engineer,Female,77.0,5.0,4.0,Senior Manager,5.0,1.0,2.0,1.0,26.0,17.0,7.0,7.0,Married,25252.0,train
